Brand,Name,Notes,Cleaned_Notes,Exposure_Count,Priority,Action
Profumum,Dulcis in Fundo Body Cream Scented Body Cream,nan,nan,0,P3,Manual Review Required
Profumum,Acqua Viva Body Cream Scented Body Cream,nan,nan,0,P3,Manual Review Required
Profumum,Acqua di Sale Body Cream Scented Body Cream,nan,nan,0,P3,Manual Review Required
Profumum,Acqua e Zucchero Body Cream Scented Body Cream,nan,nan,0,P3,Manual Review Required
Luckyscent Sample Packs,Essential 13 Sample Pack - Feminine,nan,nan,0,P3,Manual Review Required
Tauer Perfumes,Au Coeur du Desert Parfum Extrait,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Escentric 04 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Molecule 04 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Escentric 03 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Molecule 03 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Escentric 02 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Molecule 02 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Escentric Molecules,Escentric 01 Eau de Toilette,nan,nan,0,P3,Manual Review Required
Oriza L. Legrand,Relique d'Amour Eau de Parfum,nan,nan,0,P3,Manual Review Required
